rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.1	0.3	0.5	0.94	1.0166666666666666	0.67	0.65	0.65	0.5358333333333334	0.36666666666666664	0.5803544970742117	0.5678233510009736	0.574019883073272	0.0	0.8828988846405863	1.0	2.0	20
0.1	0.1	0.3	0.5	2.25	1.8535476190476188	1.44	1.0357619047619047	1.22	0.6820238095238094	0.8177857142857143	0.9033025662582631	0.7854349785126747	0.8458076556073525	0.3333333333333333	0.3333333333333333	3.0	3.0	20
0.1	0.1	0.3	0.5	1.08	0.9016666666666666	0.74	0.6783333333333332	0.69	0.5498333333333334	0.22333333333333336	0.5898257680876552	0.5649711249033722	0.5763725277116614	0.3333333333333333	0.0	3.0	1.0	20
0.1	0.1	0.3	0.5	3.01	2.739428571428572	1.92	1.0692619047619047	1.33	0.6388095238095238	1.6701666666666668	1.1216455105412735	0.7350848884524087	0.9399781998845514	0.5	0.0	2.0	0.0	20
0.1	0.1	0.3	0.5	1.2	0.938	0.88	0.7333333333333333	0.74	0.6131666666666666	0.20466666666666666	0.6608900934899589	0.6204917934766047	0.6391804907853909	0.6666666666666666	0.3333333333333333	3.0	3.0	20
0.1	0.1	0.3	0.5	4.33	2.2947665945165947	2.36	1.4014563492063488	2.01	0.7800728715728716	0.8933102453102453	0.9541712943679754	0.7484796471902178	0.8499303445772746	1.0	1.0	20.0	20.0	20
0.1	0.1	0.4	0.4	26.88	3.9461636171975387	8.07	1.361365979564729	2.9	0.311784448591214	2.584797637632811	1.0373488149418457	0.5576795961273094	0.8207990054620486	0.34782608695652173	0.36363636363636365	23.0	22.0	30
0.1	0.1	0.4	0.4	27.79	11.682405710508641	7.02	2.7550514980512064	7.05	0.3439242504078958	8.92735421245744	1.3663217680747595	0.4993009657853093	0.953445973789655	0.3103448275862069	0.3103448275862069	29.0	29.0	30
0.1	0.1	0.4	0.4	31.92	5.330368589081588	8.3	1.9573555110056566	5.17	0.2853068407496878	3.3730130780759318	1.443257896320137	0.6294719033810633	0.9597424235888405	0.2727272727272727	0.3	33.0	30.0	30
0.1	0.1	0.4	0.4	23.51	3.9775070919780973	7.98	1.6684660276077883	5.0	0.3858992226907474	2.309041064370307	1.1775874619028617	0.6096508959258835	0.8788147848645306	0.43478260869565216	0.47619047619047616	23.0	21.0	30
0.1	0.1	0.4	0.4	5.05	3.4132579365079367	1.65	1.0640039682539681	1.43	0.38057142857142834	2.349253968253968	0.9585469973104543	0.688394383572366	0.8295245142343749	0.3333333333333333	0.2	3.0	5.0	30
0.1	0.1	0.4	0.4	39.9	6.568091388309689	9.32	2.1229252692540697	5.62	0.24843317879869262	4.445166119055617	1.2343543352722863	0.6220949256902706	0.9478462916488701	0.3333333333333333	0.3333333333333333	30.0	30.0	30
0.1	0.1	0.4	0.4	36.29	6.870631939915228	9.03	2.025950743960413	5.02	0.25619203867152573	4.844681195954814	1.4234817347407815	0.5846472610740768	0.9363957017363829	0.2727272727272727	0.2857142857142857	33.0	35.0	30
0.1	0.1	0.4	0.4	32.24	6.028032197466314	6.94	2.1549545672907042	4.7	0.31720373225177023	3.873077630175609	1.188380269330155	0.5694275573287674	0.8972347402451031	0.4166666666666667	0.38461538461538464	24.0	26.0	30
0.1	0.1	0.4	0.4	3.27	4.652880952380951	1.43	1.7506785714285715	2.05	0.7717619047619055	2.9022023809523807	0.9776286845125871	0.767084823266207	0.8859934960522093	0.7446498350303586	0.7446498350303586	8.25	8.25	30
0.1	0.1	0.4	0.4	34.8	7.73388032172047	8.7	2.430986010212762	4.82	0.29094550273638864	5.302894311507706	1.5397289290896305	0.6358713530716209	1.0366373772962632	0.3225806451612903	0.3333333333333333	31.0	30.0	30
0.1	0.1	0.5	0.3	79.25	7.682831901498694	9.3	2.483139053059142	6.51	0.1099051468588645	5.199692848439551	1.2903472029450065	0.3515030903105162	0.8471755720674464	0.12987012987012986	0.12987012987012986	77.0	77.0	40
0.1	0.1	0.5	0.3	77.52	9.954808384067398	9.24	2.72911397486897	4.98	0.11509499819922246	7.2256944091984305	1.642373572995907	0.5553668695785153	1.0118467732160998	0.11688311688311688	0.11688311688311688	77.0	77.0	40
0.1	0.1	0.5	0.3	83.03	11.419774571377538	9.61	2.671834787476541	6.09	0.11623220913211445	8.747939783900998	1.5559692592090197	0.5473025455519276	1.0622787029651168	0.136986301369863	0.13333333333333333	73.0	75.0	40
0.1	0.1	0.5	0.3	59.16	7.052981805781236	9.18	2.346689405327666	7.78	0.15050118548595537	4.70629240045357	1.3927134474828764	0.6154371635876238	0.9547015670316904	0.17543859649122806	0.18518518518518517	57.0	54.0	40
0.1	0.1	0.5	0.3	68.9	6.623665040405667	9.4	2.264629367314223	4.7	0.12838927808533515	4.359035673091444	1.39062625211843	0.49034243683655243	0.9299423353424637	0.15151515151515152	0.14705882352941177	66.0	68.0	40
0.1	0.1	0.5	0.3	68.51	4.7773788853849775	8.9	2.0038682253833056	5.34	0.11572521568757634	2.773510660001671	1.4010030287438198	0.5645031808988699	0.8480793262974307	0.136986301369863	0.13333333333333333	73.0	75.0	40
0.1	0.1	0.5	0.3	68.89	8.420153286026308	9.47	2.832133410197253	5.76	0.13385207218907236	5.588019875829052	1.3091169421177151	0.4512267011502786	0.922585968870564	0.13333333333333333	0.0	75.0	0.0	40
0.1	0.1	0.5	0.3	73.95	8.402239237294564	9.46	2.329261713262213	5.69	0.12838054078236175	6.072977524032353	1.592952291812725	0.5056746012207625	1.0645117361862768	0.14285714285714285	0.14925373134328357	70.0	67.0	40
0.1	0.1	0.5	0.3	77.34	8.020325433116245	9.4	1.91353216421116	5.64	0.11464093029490806	6.106793268905085	1.6450599012365086	0.3568390020052174	0.948074562039142	0.12658227848101267	0.12345679012345678	79.0	81.0	40
